id,x,y,duration
1,7.85,-7.15,41.55
2,-5.55,4.5,-1
3,5.83,-1.77,111.84
4,1.48,-2.68,17.22
5,1.72,2.64,110.79
6,-3.0,-7.67,71.11
7,3.66,2.66,-1
8,-6.83,-7.78,83.88
9,-2.77,-3.87,23.45
10,7.08,-4.95,24.95
11,-0.62,0.91,105.42
12,6.86,1.6,17.93

1,0.12,4.55,-1
2,3.66,4.69,-1
3,3.76,-0.33,14.45
4,-0.42,-3.7,32.49
5,-4.32,3.78,86.68
6,-3.94,-4.23,79.67
7,-4.51,4.8,-1
8,1.54,5.86,16.65
9,7.79,-3.91,46.12
10,-0.34,5.66,90.31
11,4.81,6.1,13.51
12,-5.54,-4.97,-1
13,6.16,-3.66,25.73
14,-6.11,-4.2,58.38
15,7.4,-1.24,-1
16,4.7,-7.71,65.61
17,-5.99,0.94,86.56
18,5.56,5.6,-1
19,-5.87,-7.79,115.0
20,-6.87,0.33,27.43
21,1.32,3.68,25.34
22,7.3,0.19,21.65
23,7.95,4.66,17.38
24,-0.19,-4.35,44.45
25,-6.9,-0.39,65.25
26,5.27,-1.88,-1

1,-0.19,-4.35,57.88
2,-6.9,-0.39,65.49
1,-6.9,-0.39,-1
2,5.27,-1.88,68.42
3,7.17,-5.68,17.54
4,-1.06,-4.79,27.84
5,-3.71,5.05,-1
6,4.06,1.89,67.42
7,-7.41,-4.25,-1
8,7.83,-2.11,31.69
